symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2020-05-21 00:00:00+00:00,351.01,362.1,349.5,362.06,17552200,8.7445482475,9.0208282397,8.7069303225,9.0198317384,702088000,0.0,1.0
NVDA,2020-05-22 00:00:00+00:00,361.05,363.72,348.53,353.01,25969125,8.9946700799,9.0611865434,8.6827651654,8.7943733137,1038765000,0.0,1.0
NVDA,2020-05-26 00:00:00+00:00,348.71,367.27,346.88,366.27,19269476,8.6872494213,9.1496260359,8.6416594858,9.1247135028,770779040,0.0,1.0
NVDA,2020-05-27 00:00:00+00:00,341.01,345.31,319.87,345.0,29397306,8.4954229164,8.6025468088,7.9687719664,8.5948239235,1175892240,0.0,1.0
NVDA,2020-05-28 00:00:00+00:00,339.48,350.42,335.17,336.49,18403204,8.4573067407,8.729849853,8.349933723,8.3828182667,736128160,0.0,1.0
NVDA,2020-05-29 00:00:00+00:00,355.02,355.02,339.4,342.18,18647994,8.8444475053,8.8444475053,8.4553137381,8.5245705801,745919760,0.0,1.0
NVDA,2020-06-01 00:00:00+00:00,352.25,353.63,347.58,353.33,9762775,8.7754397886,8.8098190843,8.6590982589,8.8023453243,390511000,0.0,1.0
NVDA,2020-06-02 00:00:00+00:00,353.01,353.49,346.32,351.85,9783014,8.7943733137,8.8063313296,8.6277084672,8.7654747753,391320560,0.0,1.0
NVDA,2020-06-03 00:00:00+00:00,350.78,354.65,348.0,352.89,9135972,8.7388183649,8.835229868,8.6695615228,8.7913838098,365438880,0.0,1.0
NVDA,2020-06-04 00:00:00+00:00,350.66,357.73,347.1,349.12,10606960,8.7398148662,8.9160268411,8.6510857813,8.7014320598,424278400,0.16,1.0
NVDA,2020-06-05 00:00:00+00:00,356.8,359.88,348.32,351.78,12043651,8.8928476138,8.9696132266,8.6814929396,8.7677296345,481746040,0.0,1.0
NVDA,2020-06-08 00:00:00+00:00,352.2,355.59,347.43,355.09,9693431,8.7781976726,8.8626896945,8.6593106684,8.8502277444,387737240,0.0,1.0
NVDA,2020-06-09 00:00:00+00:00,361.84,364.39,350.05,352.0,11712221,9.0184640712,9.0820200168,8.7246112871,8.7732128926,468488840,0.0,1.0
NVDA,2020-06-10 00:00:00+00:00,374.67,380.0,366.14,366.71,15804537,9.3382377115,9.4710820999,9.1256368423,9.1398434654,632181480,0.0,1.0
NVDA,2020-06-11 00:00:00+00:00,351.85,370.45,351.44,366.0,14591256,8.7694743075,9.2330588524,8.7592555084,9.1221474962,583650240,0.0,1.0
NVDA,2020-06-12 00:00:00+00:00,357.3,367.49,348.13,366.5,14272704,8.905309564,9.1592841076,8.6767573985,9.1346094464,570908160,0.0,1.0
NVDA,2020-06-15 00:00:00+00:00,366.95,367.29,349.75,352.61,10000054,9.1458252015,9.1542993276,8.717134117,8.7884164717,400002160,0.0,1.0
NVDA,2020-06-16 00:00:00+00:00,362.74,370.67,353.55,369.0,13392875,9.0408955814,9.2385421105,8.811844938,9.196919197,535715000,0.0,1.0
NVDA,2020-06-17 00:00:00+00:00,369.44,371.96,362.81,364.55,10207641,9.2078857132,9.2706939418,9.0426402544,9.0860078409,408305640,0.0,1.0
NVDA,2020-06-18 00:00:00+00:00,368.72,371.3,364.58,369.08,6360238,9.189940505,9.2542441676,9.0867555579,9.1989131091,254409520,0.0,1.0
NVDA,2020-06-19 00:00:00+00:00,370.45,377.8,369.09,369.7,13104013,9.2330588524,9.4162495193,9.1991623481,9.2143659272,524160520,0.0,1.0
NVDA,2020-06-22 00:00:00+00:00,381.07,381.25,370.93,372.0,9961662,9.4977506732,9.5022369753,9.2450223245,9.2716908978,398466480,0.0,1.0
NVDA,2020-06-23 00:00:00+00:00,378.0,385.7,376.3,382.04,9377685,9.4212342994,9.6131483314,9.378863669,9.5219268565,375107400,0.0,1.0
NVDA,2020-06-24 00:00:00+00:00,369.42,382.26,365.78,379.05,11234272,9.2073872351,9.5274101145,9.1166642382,9.4474043947,449370880,0.0,1.0
NVDA,2020-06-25 00:00:00+00:00,379.6,380.2,367.29,374.23,9401800,9.4611125398,9.47606688,9.1542993276,9.3272711954,376072000,0.0,1.0
NVDA,2020-06-26 00:00:00+00:00,366.2,380.0,365.0,380.0,14802144,9.1271322763,9.4710820999,9.097223596,9.4710820999,592085760,0.0,1.0
NVDA,2020-06-29 00:00:00+00:00,368.0,368.18,356.0,366.79,8556203,9.1719952968,9.1764815988,8.8729084936,9.1418373775,342248120,0.0,1.0
NVDA,2020-06-30 00:00:00+00:00,379.91,381.05,370.66,372.56,9197300,9.4688389489,9.4972521952,9.2382928715,9.285648282,367892000,0.0,1.0
NVDA,2020-07-01 00:00:00+00:00,381.2,383.03,376.52,380.83,8237180,9.5009907802,9.5466015177,9.384346927,9.4917689371,329487200,0.0,1.0
NVDA,2020-07-02 00:00:00+00:00,384.49,389.5,383.13,385.56,9101892,9.5829904121,9.7078591524,9.5490939078,9.6096589854,364075680,0.0,1.0
NVDA,2020-07-06 00:00:00+00:00,393.57,396.35,388.5,389.67,7903881,9.8092994265,9.8785878692,9.6829352522,9.7120962155,316155240,0.0,1.0
NVDA,2020-07-07 00:00:00+00:00,394.87,402.8,394.03,397.85,8945039,9.8417004968,10.0393470259,9.8207644206,9.9159737196,357801560,0.0,1.0
NVDA,2020-07-08 00:00:00+00:00,408.64,409.0,398.62,399.75,9437346,10.1849026035,10.1938752076,9.9351651228,9.9633291301,377493840,0.0,1.0
NVDA,2020-07-09 00:00:00+00:00,420.36,422.8,409.34,415.21,12367718,10.4770107145,10.5378250312,10.2023493336,10.3486526282,494708720,0.0,1.0
NVDA,2020-07-10 00:00:00+00:00,419.17,426.21,415.15,423.55,12441869,10.4473512732,10.6228155311,10.3471571942,10.5565179564,497674760,0.0,1.0
NVDA,2020-07-13 00:00:00+00:00,402.09,431.69,401.0,423.8,11426932,10.0216510567,10.7593985045,9.9944840055,10.5627489314,457077280,0.0,1.0
NVDA,2020-07-14 00:00:00+00:00,415.08,416.11,391.42,403.0,13567356,10.3454125212,10.3710841384,9.7557130409,10.044331806,542694240,0.0,1.0
NVDA,2020-07-15 00:00:00+00:00,409.09,417.32,402.23,416.57,10099623,10.1961183586,10.4012420577,10.0251404028,10.3825491325,403984920,0.0,1.0
NVDA,2020-07-16 00:00:00+00:00,405.39,408.27,395.82,400.6,8624118,10.1038999276,10.1756807604,9.8653782021,9.9845144453,344964720,0.0,1.0
NVDA,2020-07-17 00:00:00+00:00,408.06,409.94,403.51,409.02,6657123,10.1704467413,10.2173036738,10.0570429951,10.1943736856,266284920,0.0,1.0
NVDA,2020-07-20 00:00:00+00:00,420.43,421.25,406.27,410.97,7039983,10.4787553876,10.4991929858,10.1258329598,10.2429752911,281599320,0.0,1.0
